Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,pkt_ttl_mean,pkt_ttl_std,pkt_ttl_min,pkt_ttl_max,pkt_win_mean,pkt_win_std,pkt_win_min,pkt_win_max,pkt_payload_min,pkt_payload_max,pkt_payload_var,pkt_payload_skew,pkt_payload_kurtosis,pkt_payload_nonzero_ratio,pkt_framelen_mean,pkt_framelen_std,frag_more_flag_present,frag_dont_flag_present,frag_max_offset,retransmission_count,syn_packet_count,non_tcp_udp_packet_count,subflow_count_raw,packet_count,flow_start_epoch,flag_true_fin,flag_true_syn,flag_true_rst,flag_true_psh,flag_true_ack,flag_true_urg,flag_true_cwr,flag_true_ece,timestamp_window,port_scan_entropy,unique_dst_ports_per_src,port_scan_max_sequential_run,port_scan_sequential_ratio,source_file,profile,t_min,Label
138.236.128.36-192.168.10.19-123-123-17,192.168.10.19,123,138.236.128.36,123,17,05/07/2017 08:45:01,66043342,2,2,96.0,96.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,2.907181771631121,0.0605662869089816,22014447.333333336,38056184.44959879,65957944.0,42073.0,66000017.0,66000017.0,0.0,66000017.0,66000017.0,66001269.0,66001269.0,0.0,66001269.0,66001269.0,0,0,0,0,16.0,16.0,0.0302831434544908,0.0302831434544908,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,60.0,48.0,48.0,16.0,0,0,0,0,0,0,0,32.0,0,32.0,-1.0,-1.0,1,8.0,42699.0,885.2976900455575,43325.0,42073.0,65957944.0,0.0,65957944.0,65957944.0,58.5,6.350852961085884,53.0,64.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,1.0,90.0,0.0,False,True,0,0,0,0,3,4,1499255101.858459,0,0,0,0,0,0,0,0,299851020,-0.0,1,0,0.0,Wednesday-workingHours,CICIDS2017,1499244300,BENIGN
192.168.10.1-192.168.10.3-53-61135-17,192.168.10.3,61135,192.168.10.1,53,17,05/07/2017 08:45:08,54298,1,1,59.0,317.0,59.0,59.0,59.0,0.0,317.0,317.0,317.0,0.0,6924.7486095252125,36.8337691996022,54298.0,0.0,54298.0,54298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8.0,8.0,18.416884599801097,18.416884599801097,59.0,317.0,145.0,148.95636945092346,22188.0,0,0,0,0,0,0,0,0,1,217.5,59.0,317.0,8.0,0,0,0,0,0,0,1,59.0,1,317.0,-1.0,-1.0,0,8.0,54298.0,0.0,54298.0,54298.0,0.0,0.0,0.0,0.0,191.5,89.80256121069154,128.0,255.0,0.0,0.0,0.0,0.0,59.0,317.0,33282.0,0.0,0.0,1.0,230.0,182.43354954612929,False,False,0,0,0,0,1,2,1499255108.857649,0,0,0,0,0,0,0,0,299851021,1.5566567074628228,3,0,0.0,Wednesday-workingHours,CICIDS2017,1499244300,BENIGN
192.168.10.12-34.211.94.203-44902-443-6,192.168.10.12,44902,34.211.94.203,443,6,05/07/2017 08:45:12,61175491,14,12,792.0,3890.0,473.0,0.0,56.57142857142857,133.6037276574125,1495.0,0.0,324.16666666666663,589.4918972892647,76.5339178070512,0.4250068054214718,2447019.64,4377437.9446615605,10156385.0,38.0,61175491.0,4705807.0,5245394.591945363,10240017.0,113.0,61091448.0,5553768.0,5280026.3186722845,10240708.0,211.0,3,0,0,0,456.0,392.0,0.2288498183038694,0.1961569871176023,0.0,1495.0,173.40740740740733,418.25997245541504,174941.40455840455,0,7,0,2,25,1,0,0,0,180.07692307692307,56.57142857142857,324.1666666666667,456.0,0,0,0,0,0,0,0,31.0,0,155.0,29200.0,123.0,3,32.0,100768.42857142858,87462.24062580214,286065.0,123.0,10078352.0,135356.64255587914,10156385.0,9825283.0,142.46153846153848,86.42649166510498,64.0,234.0,2346.038461538461,7566.967342235695,119.0,29200.0,0.0,1495.0,180689.99384615387,2.415223942266361,4.417075691792655,0.3076923076923077,246.69230769230768,424.8108067580926,False,True,0,0,2,0,25,26,1499255112.110455,1,2,0,7,25,0,0,0,299851022,1.383099991189334,3,0,0.0,Wednesday-workingHours,CICIDS2017,1499244300,BENIGN
192.168.10.1-192.168.10.3-53-60280-17,192.168.10.3,60280,192.168.10.1,53,17,05/07/2017 08:45:12,452,1,1,67.0,149.0,67.0,67.0,67.0,0.0,149.0,149.0,149.0,0.0,477876.1061946903,4424.778761061947,452.0,0.0,452.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8.0,8.0,2212.389380530973,2212.389380530973,67.0,149.0,94.33333333333331,47.34272207354931,2241.333333333333,0,0,0,0,0,0,0,0,1,141.5,67.0,149.0,8.0,0,0,0,0,0,0,1,67.0,1,149.0,-1.0,-1.0,0,8.0,452.0,0.0,452.0,452.0,0.0,0.0,0.0,0.0,191.5,89.80256121069154,128.0,255.0,0.0,0.0,0.0,0.0,67.0,149.0,3362.0,0.0,0.0,1.0,150.0,57.982756057296896,False,False,0,0,0,0,1,2,1499255112.109499,0,0,0,0,0,0,0,0,299851022,1.5566567074628228,3,0,0.0,Wednesday-workingHours,CICIDS2017,1499244300,BENIGN
192.168.10.1-192.168.10.3-53-61813-17,192.168.10.3,61813,192.168.10.1,53,17,05/07/2017 08:45:15,177581,1,1,73.0,173.0,73.0,73.0,73.0,0.0,173.0,173.0,173.0,0.0,1385.2833354919728,11.26246614221116,177581.0,0.0,177581.0,177581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8.0,8.0,5.63123307110558,5.63123307110558,73.0,173.0,106.33333333333334,57.735026918962575,3333.333333333333,0,0,0,0,0,0,0,0,1,159.5,73.0,173.0,8.0,0,0,0,0,0,0,1,73.0,1,173.0,-1.0,-1.0,0,8.0,177581.0,0.0,177581.0,177581.0,0.0,0.0,0.0,0.0,191.5,89.80256121069154,128.0,255.0,0.0,0.0,0.0,0.0,73.0,173.0,5000.0,0.0,0.0,1.0,165.0,70.71067811865476,False,False,0,0,0,0,1,2,1499255115.707233,0,0,0,0,0,0,0,0,299851023,4.940709250316447,38,1,0.0297029702970297,Wednesday-workingHours,CICIDS2017,1499244300,BENIGN
192.168.10.1-192.168.10.3-53-60527-17,192.168.10.3,60527,192.168.10.1,53,17,05/07/2017 08:45:16,23539,1,1,73.0,125.0,73.0,73.0,73.0,0.0,125.0,125.0,125.0,0.0,8411.57228429415,84.96537660903182,23539.0,0.0,23539.0,23539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8.0,8.0,42.48268830451591,42.48268830451591,73.0,125.0,90.33333333333331,30.022213997860543,901.3333333333336,0,0,0,0,0,0,0,0,1,135.5,73.0,125.0,8.0,0,0,0,0,0,0,1,73.0,1,125.0,-1.0,-1.0,0,8.0,23539.0,0.0,23539.0,23539.0,0.0,0.0,0.0,0.0,191.5,89.80256121069154,128.0,255.0,0.0,0.0,0.0,0.0,73.0,125.0,1352.0,0.0,0.0,1.0,141.0,36.76955262170047,False,False,0,0,0,0,1,2,1499255116.47414,0,0,0,0,0,0,0,0,299851023,4.940709250316447,38,1,0.0297029702970297,Wednesday-workingHours,CICIDS2017,1499244300,BENIGN
192.168.10.14-40.77.226.220-49521-443-6,192.168.10.14,49521,40.77.226.220,443,6,05/07/2017 08:45:16,162,3,0,85.0,0.0,85.0,0.0,28.333333333333336,49.07477288111819,0.0,0.0,0.0,0.0,524691.3580246913,18518.51851851852,81.0,43.840620433565945,112.0,50.0,162.0,81.0,43.840620433565945,112.0,50.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60.0,0.0,18518.51851851852,0.0,0.0,85.0,21.25,42.5,1806.25,0,1,0,0,3,1,0,0,0,28.33333333333333,28.33333333333333,0.0,60.0,0,0,0,0,0,0,1,42.0,0,0.0,256.0,-1.0,1,20.0,162.0,0.0,162.0,162.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,256.0,0.0,256.0,256.0,0.0,85.0,2408.333333333333,0.7071067811865476,0.0,0.3333333333333333,86.33333333333333,45.61067126598043,False,True,0,0,0,0,2,3,1499255116.415459,1,0,0,1,3,0,0,0,299851023,1.179623254681943,4,0,0.0,Wednesday-workingHours,CICIDS2017,1499244300,BENIGN
192.168.10.14-65.55.44.109-49523-443-6,192.168.10.14,49523,65.55.44.109,443,6,05/07/2017 08:45:16,64630125,32,29,41852.0,6261.0,4181.0,0.0,1307.875,1558.0377599051708,1460.0,0.0,215.8965517241379,398.85088019276304,744.4361278892776,0.9438323073025155,1077168.75,7736182.965996203,59963535.0,1.0,64630125.0,2084842.741935484,10748735.165942598,59963535.0,1.0,4574647.0,163380.25000000003,425889.8854926414,1797264.0,2.0,22,0,0,0,652.0,592.0,0.4951251448144343,0.4487071624880812,0.0,4181.0,776.0161290322582,1270.4631721804208,1614076.6718667375,0,31,0,2,60,1,0,0,0,788.7377049180328,1307.875,215.89655172413796,652.0,0,0,0,0,0,0,0,697.0,0,104.0,8192.0,513.0,23,20.0,4666590.0,0.0,4666590.0,4666590.0,59963535.0,0.0,59963535.0,59963535.0,118.42622950819673,10.143074840161376,107.0,128.0,634.344262295082,1408.7360160234175,254.0,8192.0,0.0,4181.0,1630776.7300546446,1.8754534807164704,2.283485775383033,0.5573770491803278,845.6065573770492,1275.220520520386,False,True,0,0,2,0,60,61,1499255116.500621,1,2,0,31,60,0,0,0,299851023,1.179623254681943,4,0,0.0,Wednesday-workingHours,CICIDS2017,1499244300,BENIGN
192.168.10.3-192.168.10.25-389-49152-6,192.168.10.25,49152,192.168.10.3,389,6,05/07/2017 08:45:17,226530,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.900984417075,37755.0,92401.12481566444,226368.0,3.0,226530.0,56632.5,113157.00848673344,226368.0,3.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,184.0,80.0,22.072131726482144,8.828852690592857,0.0,0.0,0.0,0.0,0.0,0,0,0,4,5,1,0,0,0,0.0,0.0,0.0,184.0,0,0,0,0,0,0,0,0.0,0,0.0,65535.0,8192.0,0,32.0,226530.0,0.0,226530.0,226530.0,0.0,0.0,0.0,0.0,82.28571428571428,31.22880233435306,64.0,128.0,49151.28571428572,27980.51894154387,8192.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,71.71428571428572,5.589105048046177,False,True,0,0,4,0,6,7,1499255117.885299,1,4,0,0,5,0,0,0,299851023,0.4394969869215134,2,0,0.0,Wednesday-workingHours,CICIDS2017,1499244300,BENIGN
192.168.10.3-192.168.10.14-49666-49486-6,192.168.10.14,49486,192.168.10.3,49666,6,05/07/2017 08:45:17,49,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81632.6530612245,16.333333333333336,24.906491790963525,45.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.8284271247461903,4.0,0.0,0,0,0,0,20.0,60.0,20408.163265306124,61224.48979591837,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4,2,0,0,3,0.0,0.0,0.0,20.0,0,0,0,0,0,0,0,0.0,1,0.0,255.0,2053.0,0,20.0,49.0,0.0,49.0,49.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1603.5,899.0,255.0,2053.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,False,True,0,0,0,0,3,4,1499255117.58922,2,0,0,0,4,0,0,0,299851023,1.179623254681943,4,0,0.0,Wednesday-workingHours,CICIDS2017,1499244300,BENIGN
