Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,pkt_ttl_mean,pkt_ttl_std,pkt_ttl_min,pkt_ttl_max,pkt_win_mean,pkt_win_std,pkt_win_min,pkt_win_max,pkt_payload_min,pkt_payload_max,pkt_payload_var,pkt_payload_skew,pkt_payload_kurtosis,pkt_payload_nonzero_ratio,pkt_framelen_mean,pkt_framelen_std,frag_more_flag_present,frag_dont_flag_present,frag_max_offset,retransmission_count,syn_packet_count,non_tcp_udp_packet_count,subflow_count_raw,packet_count,flow_start_epoch,flag_true_fin,flag_true_syn,flag_true_rst,flag_true_psh,flag_true_ack,flag_true_urg,flag_true_cwr,flag_true_ece,timestamp_window,port_scan_entropy,unique_dst_ports_per_src,port_scan_max_sequential_run,port_scan_sequential_ratio,source_file,profile,t_min,Label
192.168.10.15-199.244.50.75-52530-80-6,192.168.10.15,52530,199.244.50.75,80,6,05/07/2017 10:20:00,120,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16666.666666666668,120.0,0.0,120.0,120.0,120.0,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40.0,0.0,16666.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,40.0,0,0,0,0,0,0,2,0.0,0,0.0,255.0,-1.0,0,20.0,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,255.0,0.0,255.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,False,True,0,0,0,0,1,2,1499260800.297396,1,0,0,0,2,0,0,0,299852160,0.9852281360342516,2,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
192.168.10.16-104.131.53.252-123-123-17,192.168.10.16,123,104.131.53.252,123,17,05/07/2017 10:20:14,24097,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,3983.8984105905297,82.99788355396937,24097.0,0.0,24097.0,24097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8.0,8.0,41.49894177698469,41.49894177698469,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,0,1,72.0,48.0,48.0,8.0,0,0,0,0,0,0,1,48.0,1,48.0,-1.0,-1.0,0,8.0,24097.0,0.0,24097.0,24097.0,0.0,0.0,0.0,0.0,57.5,9.192388155425116,51.0,64.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,0.0,0.0,1.0,90.0,0.0,False,True,0,0,0,0,1,2,1499260814.792548,0,0,0,0,0,0,0,0,299852162,-0.0,1,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
192.168.10.1-192.168.10.3-53-61748-17,192.168.10.3,61748,192.168.10.1,53,17,05/07/2017 10:20:20,547,1,1,43.0,59.0,43.0,43.0,43.0,0.0,59.0,59.0,59.0,0.0,186471.66361974407,3656.307129798904,547.0,0.0,547.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8.0,8.0,1828.153564899452,1828.153564899452,43.0,59.0,48.333333333333336,9.237604307034012,85.33333333333331,0,0,0,0,0,0,0,0,1,72.5,43.0,59.0,8.0,0,0,0,0,0,0,1,43.0,1,59.0,-1.0,-1.0,0,8.0,547.0,0.0,547.0,547.0,0.0,0.0,0.0,0.0,191.5,89.80256121069154,128.0,255.0,0.0,0.0,0.0,0.0,43.0,59.0,128.0,0.0,0.0,1.0,93.0,11.31370849898476,False,False,0,0,0,0,1,2,1499260820.991511,0,0,0,0,0,0,0,0,299852164,5.757815304692185,71,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
192.168.10.15-23.192.11.230-52569-443-6,192.168.10.15,52569,23.192.11.230,443,6,05/07/2017 10:20:22,424721,10,8,558.0,4173.0,192.0,0.0,55.8,75.46124833316766,1460.0,0.0,521.625,657.1918479409189,11139.077182432702,42.38076290082195,24983.58823529412,40096.60009286764,149728.0,3.0,424721.0,47191.22222222222,50655.29029326004,149728.0,3.0,202292.0,28898.857142857145,43217.518729594565,112723.0,4.0,5,0,0,0,212.0,172.0,23.544868278234414,18.83589462258753,0.0,1460.0,249.0,477.5176552873319,228023.11111111112,0,8,0,2,17,1,0,0,0,262.8333333333333,55.8,521.625,212.0,0,0,0,0,0,0,0,32.0,0,245.0,8192.0,980.0,5,20.0,424721.0,0.0,424721.0,424721.0,0.0,0.0,0.0,0.0,94.66666666666666,38.34824944236852,53.0,128.0,2576.7222222222226,6890.831758943573,255.0,29200.0,0.0,1460.0,237586.5,1.8584510609910672,1.8064275378964572,0.5555555555555556,320.1666666666667,485.5399965350889,False,True,0,0,2,0,17,18,1499260822.487917,1,2,0,8,17,0,0,0,299852164,1.101400829801965,4,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
192.168.10.15-104.19.193.102-52566-443-6,192.168.10.15,52566,104.19.193.102,443,6,05/07/2017 10:20:22,117593226,13,11,583.0,3938.0,197.0,0.0,44.846153846153854,66.806743863483,2005.0,0.0,358.0,694.7901841563394,38.44609212438819,0.204093388848776,5112748.956521739,16879738.98444906,58708185.0,14.0,117593226.0,9799435.499999998,22809430.840057544,58708185.0,508.0,117528444.0,11752844.4,24715620.49553952,58773716.0,90.0,6,0,0,0,272.0,232.0,0.1105505856264203,0.0935428032223556,0.0,2005.0,180.84,478.6814946635533,229135.9733333334,0,12,0,2,23,0,0,0,0,188.375,44.84615384615385,358.0,272.0,0,0,0,0,0,0,0,25.0,0,171.0,8192.0,31.0,6,20.0,126432.33333333331,106112.431568282,248959.0,64659.0,58606964.5,143147.40389018587,58708185.0,58505744.0,95.45833333333331,36.13739381698766,57.0,128.0,1698.25,6083.912187071736,30.0,29200.0,0.0,2005.0,237617.2880434783,3.051226051836601,7.8656518498032195,0.5416666666666666,245.62500000000003,486.1637595368011,False,True,0,0,2,0,23,24,1499260822.486415,0,2,0,12,23,0,0,0,299852164,1.101400829801965,4,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
172.217.12.168-192.168.10.15-443-52589-6,192.168.10.15,52589,172.217.12.168,443,6,05/07/2017 10:20:24,351556,11,10,534.0,4176.0,201.0,0.0,48.54545454545455,72.64483964654838,1430.0,0.0,417.6,596.4621996032569,13397.581039720557,59.73443775671586,17577.800000000003,25940.18965072903,102657.0,0.0,351556.0,35155.6,35313.85928813533,102657.0,19.0,274398.0,30488.666666666668,46555.79338009396,140384.0,0.0,5,0,0,0,232.0,212.0,31.28946739637497,28.44497036034089,0.0,1430.0,214.09090909090912,437.3148488861052,191244.27705627703,0,10,0,2,20,1,0,0,0,224.28571428571428,48.54545454545455,417.6,232.0,0,0,0,0,0,0,0,26.0,0,208.0,8192.0,351.0,5,20.0,351556.0,0.0,351556.0,351556.0,0.0,0.0,0.0,0.0,91.80952380952382,38.89423999465608,52.0,128.0,2697.428571428572,9343.900901504834,256.0,42780.0,0.0,1430.0,198405.61428571428,2.1088500106291552,2.9029458383451034,0.5714285714285714,281.42857142857144,443.78142947047377,False,True,0,0,2,0,20,21,1499260824.236413,1,2,0,10,20,0,0,0,299852164,1.101400829801965,4,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
192.168.10.51-93.184.216.180-34438-443-6,192.168.10.51,34438,93.184.216.180,443,6,05/07/2017 10:20:25,118859225,50,51,4092.0,54748.0,542.0,0.0,81.84,186.26033569458968,2896.0,0.0,1073.4901960784316,1020.9230994065914,495.0394048085036,0.8497447295319316,1188592.2499999998,3170606.609083598,10024919.0,1.0,118859225.0,2425698.4693877557,4215685.703485061,10047951.0,3.0,114276922.0,2285538.44,4188958.116617779,10049259.0,1.0,10,0,0,0,1632.0,1640.0,0.4206657076890751,0.4290790218428565,0.0,2896.0,576.8627450980395,884.284563302651,781959.1888953601,0,29,0,2,100,1,0,0,1,582.5742574257425,81.84,1073.4901960784314,1632.0,0,0,0,0,0,0,0,40.0,0,547.0,29200.0,302.0,10,32.0,716996.5833333333,1629046.6578056382,4582199.0,22975.0,10023206.0,4872.49825038434,10024919.0,10008558.0,59.45544554455444,4.52222235737087,55.0,64.0,1503.1485148514848,7047.469801831207,229.0,65535.0,0.0,2896.0,786418.1269306933,1.4904949958199496,1.081864898744409,0.4752475247524752,648.9702970297029,886.5416341655426,False,True,0,13,2,0,100,101,1499260825.247611,1,2,0,29,100,0,0,0,299852165,0.5202579097933329,4,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
192.168.10.1-192.168.10.3-53-61572-17,192.168.10.3,61572,192.168.10.1,53,17,05/07/2017 10:20:26,90878,1,1,64.0,117.0,64.0,64.0,64.0,0.0,117.0,117.0,117.0,0.0,1991.6811549549943,22.007526574088335,90878.0,0.0,90878.0,90878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8.0,8.0,11.003763287044167,11.003763287044167,64.0,117.0,81.66666666666667,30.59956426705017,936.3333333333331,0,0,0,0,0,0,0,0,1,122.5,64.0,117.0,8.0,0,0,0,0,0,0,1,64.0,1,117.0,-1.0,-1.0,0,8.0,90878.0,0.0,90878.0,90878.0,0.0,0.0,0.0,0.0,191.5,89.80256121069154,128.0,255.0,0.0,0.0,0.0,0.0,64.0,117.0,1404.5,0.0,0.0,1.0,132.5,37.476659402887016,False,False,0,0,0,0,1,2,1499260826.023764,0,0,0,0,0,0,0,0,299852165,6.778684671323293,178,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
172.217.6.202-192.168.10.16-443-42744-6,172.217.6.202,443,192.168.10.16,42744,6,05/07/2017 10:20:26,12591,3,1,38.0,0.0,38.0,0.0,12.666666666666668,21.93931022920578,0.0,0.0,0.0,0.0,3018.0287506949408,317.68723691525696,4197.0,7214.913928800537,12528.0,3.0,12591.0,6295.5,8898.9388412327,12588.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,96.0,20.0,238.2654276864427,79.42180922881424,0.0,38.0,7.6,16.994116628998402,288.8,1,1,0,0,3,1,0,0,0,9.5,12.666666666666666,0.0,96.0,0,0,0,0,0,0,1,12.0,0,0.0,349.0,0.0,1,32.0,12591.0,0.0,12591.0,12591.0,0.0,0.0,0.0,0.0,55.0,6.0,52.0,64.0,261.75,174.5,0.0,349.0,0.0,38.0,361.0,1.1547005383792517,-0.6666666666666665,0.25,74.0,20.19900987672416,False,True,0,0,0,0,3,4,1499260826.885438,1,0,1,1,3,0,0,0,299852165,1.918274363207856,5,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
192.168.10.51-23.50.75.27-51518-80-6,192.168.10.51,51518,23.50.75.27,80,6,05/07/2017 10:20:26,50993269,8,8,432.0,1774.0,432.0,0.0,54.0,152.73506473629428,1774.0,0.0,221.75,627.2037149124676,43.260611513256784,0.3137669012747545,3399551.2666666666,4580507.289045777,10024929.0,50.0,43628766.0,6232680.857142857,4876046.9545462895,10047915.0,25014.0,50962390.0,7280341.428571428,4042953.977282488,10047907.0,1824.0,1,0,0,0,264.0,264.0,0.1568834506373772,0.1568834506373772,0.0,1774.0,129.76470588235293,436.4228925898258,190464.9411764706,0,2,0,2,15,1,0,0,1,137.875,54.0,221.75,264.0,0,0,0,0,0,0,0,28.0,0,118.0,29200.0,939.0,1,32.0,716404.0000000001,1550358.1687653663,3489769.0,22978.0,9482249.8,1196748.8042169502,10024929.0,7341525.0,60.0,4.131182235954578,56.0,64.0,4154.437499999999,9735.764287537984,229.0,29200.0,0.0,1774.0,201969.85,3.31379698178422,9.513817600440182,0.125,204.87500000000003,449.0915088635426,False,True,0,0,2,0,15,16,1499260826.680442,1,2,0,2,15,0,0,0,299852165,0.5202579097933329,4,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
192.168.10.15-23.192.11.230-52611-443-6,192.168.10.15,52611,23.192.11.230,443,6,05/07/2017 10:20:27,410226,9,7,534.0,4173.0,197.0,0.0,59.33333333333332,83.93598751429568,1460.0,0.0,596.1428571428571,672.3521965387457,11474.16302233403,39.002891089302,27348.4,55973.73358587809,220222.0,4.0,410226.0,51278.25,73566.56254955198,220222.0,4.0,103254.0,17209.0,16669.099603757848,34940.0,83.0,4,0,0,0,192.0,152.0,21.93912623773237,17.063764851569623,0.0,1460.0,276.8823529411764,499.0497072377837,249050.6102941176,0,7,0,2,15,1,0,0,0,294.1875,59.333333333333336,596.1428571428571,192.0,0,0,0,0,0,0,0,35.0,0,278.0,8192.0,980.0,4,20.0,410226.0,0.0,410226.0,410226.0,0.0,0.0,0.0,0.0,95.1875,38.426065372348496,53.0,128.0,2821.625,7295.299883029712,255.0,29200.0,0.0,1460.0,260223.62916666668,1.6685351685558198,1.1191491512128255,0.5625,351.5624999999999,508.0595724584536,False,True,0,0,2,0,15,16,1499260827.799299,1,2,0,7,15,0,0,0,299852165,1.0521746998039778,4,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
192.168.10.1-192.168.10.3-53-62147-17,192.168.10.3,62147,192.168.10.1,53,17,05/07/2017 10:20:28,49385,1,1,62.0,90.0,62.0,62.0,62.0,0.0,90.0,90.0,90.0,0.0,3077.85764908373,40.49812696162802,49385.0,0.0,49385.0,49385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8.0,8.0,20.24906348081401,20.24906348081401,62.0,90.0,71.33333333333333,16.165807537309522,261.33333333333337,0,0,0,0,0,0,0,0,1,107.0,62.0,90.0,8.0,0,0,0,0,0,0,1,62.0,1,90.0,-1.0,-1.0,0,8.0,49385.0,0.0,49385.0,49385.0,0.0,0.0,0.0,0.0,191.5,89.80256121069154,128.0,255.0,0.0,0.0,0.0,0.0,62.0,90.0,392.0,0.0,0.0,1.0,118.0,19.79898987322333,False,False,0,0,0,0,1,2,1499260828.325044,0,0,0,0,0,0,0,0,299852165,6.778684671323293,178,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
192.168.10.1-192.168.10.3-53-60735-17,192.168.10.3,60735,192.168.10.1,53,17,05/07/2017 10:20:28,30763,1,1,56.0,72.0,56.0,56.0,56.0,0.0,72.0,72.0,72.0,0.0,4160.842570620551,65.0131651659461,30763.0,0.0,30763.0,30763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8.0,8.0,32.50658258297305,32.50658258297305,56.0,72.0,61.333333333333336,9.237604307034012,85.33333333333331,0,0,0,0,0,0,0,0,1,92.0,56.0,72.0,8.0,0,0,0,0,0,0,1,56.0,1,72.0,-1.0,-1.0,0,8.0,30763.0,0.0,30763.0,30763.0,0.0,0.0,0.0,0.0,191.5,89.80256121069154,128.0,255.0,0.0,0.0,0.0,0.0,56.0,72.0,128.0,0.0,0.0,1.0,106.0,11.31370849898476,False,False,0,0,0,0,1,2,1499260828.003757,0,0,0,0,0,0,0,0,299852165,6.778684671323293,178,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
192.168.10.1-192.168.10.3-53-60705-17,192.168.10.3,60705,192.168.10.1,53,17,05/07/2017 10:20:28,30472,1,1,55.0,71.0,55.0,55.0,55.0,0.0,71.0,71.0,71.0,0.0,4134.943554738777,65.63402467839327,30472.0,0.0,30472.0,30472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8.0,8.0,32.81701233919664,32.81701233919664,55.0,71.0,60.333333333333336,9.237604307034012,85.33333333333331,0,0,0,0,0,0,0,0,1,90.5,55.0,71.0,8.0,0,0,0,0,0,0,1,55.0,1,71.0,-1.0,-1.0,0,8.0,30472.0,0.0,30472.0,30472.0,0.0,0.0,0.0,0.0,191.5,89.80256121069154,128.0,255.0,0.0,0.0,0.0,0.0,55.0,71.0,128.0,0.0,0.0,1.0,105.0,11.31370849898476,False,False,0,0,0,0,1,2,1499260828.018084,0,0,0,0,0,0,0,0,299852165,6.778684671323293,178,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
172.217.6.230-192.168.10.51-443-38529-6,192.168.10.51,38529,172.217.6.230,443,6,05/07/2017 10:20:28,116199005,22,18,969.0,5436.0,582.0,0.0,44.04545454545455,131.09156279294956,2836.0,0.0,302.0,734.3391586998476,55.120953918667375,0.3442370268144722,2979461.6666666665,4548444.599351128,10011749.0,3.0,116199005.0,5533285.952380953,4985301.461559085,10047967.0,3.0,110678623.0,6510507.235294118,4935270.243893471,10048183.0,134.0,4,0,0,0,712.0,584.0,0.1893303647479597,0.1549066620665125,0.0,2836.0,156.21951219512195,505.2714375558508,255299.225609756,0,7,0,2,39,1,0,0,0,160.125,44.04545454545455,302.0,712.0,0,0,0,0,0,0,0,24.0,0,139.0,29200.0,358.0,4,32.0,46266.84615384616,48022.75508000722,202577.0,3.0,9633128.0,1306676.6444924313,10011749.0,5483894.0,58.6,6.045977683869348,52.0,64.0,2108.100000000001,7970.472989857708,229.0,42408.0,0.0,2836.0,261203.95833333328,4.115905470473959,17.618290714425907,0.2,226.525,510.95566506955055,False,True,0,0,2,0,39,40,1499260828.909894,1,2,0,7,39,0,0,0,299852165,0.5202579097933329,4,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
172.217.12.194-192.168.10.16-443-44620-6,172.217.12.194,443,192.168.10.16,44620,6,05/07/2017 10:20:29,18009,2,1,38.0,0.0,38.0,0.0,19.0,26.87005768508881,0.0,0.0,0.0,0.0,2110.0560830695763,166.58337497917708,9004.5,12664.989557832252,17960.0,49.0,18009.0,18009.0,0.0,18009.0,18009.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64.0,20.0,111.0555833194514,55.52779165972569,0.0,38.0,19.0,21.939310229205777,481.3333333333333,1,1,0,0,2,1,0,0,0,25.33333333333333,19.0,0.0,64.0,0,0,0,0,0,0,1,19.0,0,0.0,349.0,0.0,0,32.0,18009.0,0.0,18009.0,18009.0,0.0,0.0,0.0,0.0,56.0,6.928203230275509,52.0,64.0,232.66666666666663,201.49524394717935,0.0,349.0,0.0,38.0,481.3333333333333,0.7071067811865475,0.0,0.3333333333333333,76.66666666666667,23.86070689089771,False,True,0,0,0,0,2,3,1499260829.683272,1,0,1,1,2,0,0,0,299852165,2.5315507094577225,7,4,0.0769230769230769,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
192.168.10.51-216.58.217.99-52978-443-6,192.168.10.51,52978,216.58.217.99,443,6,05/07/2017 10:20:29,115748680,23,20,3008.0,5438.0,1702.0,0.0,130.78260869565213,395.05488186300704,1418.0,0.0,271.9,507.2951907186936,72.968434715627,0.3714945172592897,2755920.9523809524,4433709.002788384,10009777.0,1.0,115748680.0,5261303.636363637,4999246.531206226,10051918.0,3.0,110834324.0,5833385.47368421,5077147.756604045,10052071.0,48.0,5,0,0,0,744.0,648.0,0.1987063696968294,0.1727881475624603,0.0,1702.0,191.9545454545455,446.5334673019692,199392.1374207188,0,9,0,2,42,1,0,0,0,196.4186046511628,130.7826086956522,271.9,744.0,0,0,0,0,0,0,0,71.0,0,129.0,29200.0,413.0,5,32.0,474111.9166666666,1400963.7291339168,4913712.0,41600.0,10005394.272727272,2589.276968225254,10009777.0,9998739.0,57.95348837209304,6.560899649300766,51.0,64.0,2008.813953488372,7688.858898109571,229.0,42408.0,0.0,1702.0,203241.86821705423,2.2977907943818763,3.861483865396165,0.2558139534883721,262.79069767441865,450.6607613451257,False,True,0,1,2,0,42,43,1499260829.36166,1,2,0,9,42,0,0,0,299852165,0.5202579097933329,4,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
192.168.10.51-23.50.75.27-51635-80-6,192.168.10.51,51635,23.50.75.27,80,6,05/07/2017 10:20:30,5670839,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7053629983147115,1890279.6666666667,3253724.651618408,5647333.0,57.0,5670839.0,2835419.5,3976646.207919998,5647333.0,23506.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104.0,40.0,0.5290222487360335,0.1763407495786778,0.0,0.0,0.0,0.0,0.0,0,0,0,2,3,1,0,0,0,0.0,0.0,0.0,104.0,0,0,0,0,0,0,1,0.0,0,0.0,29200.0,28960.0,0,32.0,23506.0,0.0,23506.0,23506.0,5647333.0,0.0,5647333.0,5647333.0,62.0,3.999999999999999,56.0,64.0,14654.5,16657.420778740026,229.0,29200.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,4.618802153517004,False,True,0,0,2,0,3,4,1499260830.259263,1,2,0,0,3,0,0,0,299852166,1.1222201398361669,3,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
192.168.10.1-192.168.10.3-53-61491-17,192.168.10.3,61491,192.168.10.1,53,17,05/07/2017 10:20:30,69756,1,1,49.0,112.0,49.0,49.0,49.0,0.0,112.0,112.0,112.0,0.0,2308.045186077183,28.671368771145136,69756.0,0.0,69756.0,69756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8.0,8.0,14.335684385572568,14.335684385572568,49.0,112.0,70.0,36.37306695894642,1323.0,0,0,0,0,0,0,0,0,1,105.0,49.0,112.0,8.0,0,0,0,0,0,0,1,49.0,1,112.0,-1.0,-1.0,0,8.0,69756.0,0.0,69756.0,69756.0,0.0,0.0,0.0,0.0,191.5,89.80256121069154,128.0,255.0,0.0,0.0,0.0,0.0,49.0,112.0,1984.5,0.0,0.0,1.0,122.5,44.54772721475249,False,False,0,0,0,0,1,2,1499260830.045089,0,0,0,0,0,0,0,0,299852166,5.866406993874857,93,0,0.0,Wednesday-workingHours,CICIDS2017,1499250000,BENIGN
