window_index,y_now,k,horizon_s,attack_prob,progression_state,attck_phase,confidence
120,0,1,10,0.024,NORMAL,None,Medium
120,0,2,20,0.0251,NORMAL,None,Medium
120,0,3,30,0.0249,NORMAL,None,Medium
120,0,4,40,0.0254,NORMAL,None,Low
120,0,5,50,0.0238,NORMAL,None,Low
120,0,6,60,0.0249,NORMAL,None,Low
121,0,1,10,0.0181,NORMAL,None,Medium
121,0,2,20,0.0226,NORMAL,None,Medium
121,0,3,30,0.0242,NORMAL,None,Medium
121,0,4,40,0.0261,NORMAL,None,Low
121,0,5,50,0.0281,NORMAL,None,Low
121,0,6,60,0.0231,NORMAL,None,Low
122,0,1,10,0.0161,NORMAL,None,Medium
122,0,2,20,0.0199,NORMAL,None,Medium
122,0,3,30,0.0209,NORMAL,None,Medium
122,0,4,40,0.0267,NORMAL,None,Low
122,0,5,50,0.0279,NORMAL,None,Low
122,0,6,60,0.0312,NORMAL,None,Low
123,0,1,10,0.58,NORMAL,None,Medium
123,0,2,20,0.533,NORMAL,None,Medium
123,0,3,30,0.5064,NORMAL,None,Medium
123,0,4,40,0.4835,NORMAL,None,Low
123,0,5,50,0.4766,NORMAL,None,Low
123,0,6,60,0.4687,NORMAL,None,Low
124,0,1,10,0.5273,NORMAL,None,Medium
124,0,2,20,0.4783,NORMAL,None,Medium
124,0,3,30,0.4226,NORMAL,None,Medium
124,0,4,40,0.395,NORMAL,None,Low
124,0,5,50,0.3717,NORMAL,None,Low
124,0,6,60,0.3583,NORMAL,None,Low
125,0,1,10,0.0165,NORMAL,None,Medium
125,0,2,20,0.0201,NORMAL,None,Medium
125,0,3,30,0.0244,NORMAL,None,Medium
125,0,4,40,0.0259,NORMAL,None,Low
125,0,5,50,0.0237,NORMAL,None,Low
125,0,6,60,0.0303,NORMAL,None,Low
126,0,1,10,0.022,NORMAL,None,Medium
126,0,2,20,0.0245,NORMAL,None,Medium
126,0,3,30,0.0275,NORMAL,None,Medium
126,0,4,40,0.0239,NORMAL,None,Low
126,0,5,50,0.0242,NORMAL,None,Low
126,0,6,60,0.0223,NORMAL,None,Low
127,0,1,10,0.0186,NORMAL,None,Medium
127,0,2,20,0.0212,NORMAL,None,Medium
127,0,3,30,0.0231,NORMAL,None,Medium
127,0,4,40,0.0251,NORMAL,None,Low
127,0,5,50,0.0249,NORMAL,None,Low
127,0,6,60,0.0245,NORMAL,None,Low
128,0,1,10,0.0168,NORMAL,None,Medium
128,0,2,20,0.022,NORMAL,None,Medium
128,0,3,30,0.0248,NORMAL,None,Medium
128,0,4,40,0.0249,NORMAL,None,Low
128,0,5,50,0.0261,NORMAL,None,Low
128,0,6,60,0.0303,NORMAL,None,Low
129,0,1,10,0.0204,NORMAL,None,Medium
129,0,2,20,0.024,NORMAL,None,Medium
129,0,3,30,0.024,NORMAL,None,Medium
129,0,4,40,0.0222,NORMAL,None,Low
129,0,5,50,0.0255,NORMAL,None,Low
129,0,6,60,0.0262,NORMAL,None,Low
130,0,1,10,0.0209,NORMAL,None,Medium
130,0,2,20,0.0207,NORMAL,None,Medium
130,0,3,30,0.0237,NORMAL,None,Medium
